#OTU ID,WAS_76,R1_76,R2_76,R3_76,WAS_121,R1_121,R2_121,R3_121,WAS_160,R1_160,R2_160,R3_160,WAS_196,R1_196,R2_196,R3_196
33f2cb9c67e1a245603ed2dd6e959c76,0,0,0,0,0,0.061512726,0.06521093,0.059012741,0,0,0,0,0,0,0,0
1dc1b9def160f0ca3a525cf8fe7b4b7d,0,0,0,0,0,0.049400754,0.058217801,0.051411526,0,0,0,0,0,0,0,0
0287e0418563ba543d79d106db4929f0,0,0,0,0,0,0.032799729,0.028514485,0.036640371,0,0,0,0,0,0,0,0
72988b1ac2210d76818cf23fbe2b3669,0,0,0,0,0.022889763,0.032587981,0.03461599,0.030404859,0,0,0,0,0,0,0,0
47b787dce5eeb626575f3273d8641647,0,0,0,0,0.000290972,0.029962309,0.028759244,0.029883736,0,0,0,0,0,0,0,0
192dcfee21fe5342543b7d7acb2b0378,0,0,0,0,0.000124702,0.029919959,0.03244812,0.031788532,0,0,0,0,0,0,0,0
e2acf670820bfce80a26bf78bebe11d6,0,0,0,0,0,0.021259476,0.027378101,0.024115438,0,0,0,0,0,0,0,0
01c386d73fb52119b3f91056034f0691,0,0,0,0,0.058235881,0.016855122,0.01244777,0.015382127,0,0,0,0,0,0,0,0
6a53f3f71964d3da19be54268743ff76,0,0,0,0,0.016668514,0.013530682,0.013164566,0.011249079,0,0,0,0,0,0,0,0
0a62fc46798da9b50112a8d0c5795e78,0,0,0,0,0,0.011032059,0.011975734,0.013117936,0,0,0,0,0,0,0,0
fd805573e482cc3f5cae971e5a509bd0,0,0,0,0,0.014354597,0.010206242,0.00959807,0.009182555,0,0,0,0,0,0,0,0
04e04d0c2bdbbce8226582a5bddcb82b,0,0,0,0,0.000374106,0.009147503,0.01015752,0.008266096,0,0,0,0,0,0,0,0
51ba1c2381aa9172ca9bfaaf45faee1e,0,0,0,0,0.014146761,0.009147503,0.008741412,0.007798882,0,0,0,0,0,0,0,0
3cd467b32c6a92b0ced94de1f9408a18,0,0,0,0,0,0.008808707,0.012080631,0.012309296,0,0,0,0,0,0,0,0
c9bc5be75a1be9ccec4084aa8ded7d3a,0,0,0,0,0,0.008236988,0.007220406,0.0063613,0,0,0,0,0,0,0,0
c41986efc75f397851e095eb243692a4,0,0,0,0,0,0.008004066,0.006660956,0.006900394,0,0,0,0,0,0,0,0
711cb1dfe0a4f761994ac591ce59ba66,0,0,0,0,0,0.007771143,0.007500131,0.005965965,0,0,0,0,0,0,0,0
fe8f5db3fb99cccccd23d71403d19f50,0,0,0,0,0,0.007707619,0.001958076,0.00156337,0,0,0,0,0,0,0,0
1c7ef2af59f59452a330750ca6d367f3,0,0,0,0,0.014617857,0.007411172,0.004021049,0.005408902,0,0,0,0,0,0,0,0
7ed371236b02b7122796077e77264823,0,0,0,0,0,0.007262948,0.007098026,0.007816852,0,0,0,0,0,0,0,0
344250e52f64581b19ef71299d4078b3,0,0,0,0,0,0.006902977,0.007255372,0.008032489,0,0,0,0,0,0,0,0
16da69f1524617ed8fff9336c3c79fa8,0,0,0,0,6.93E-05,0.006797103,0.006870749,0.006684756,0,0,0,0,0,0,0,0
762b2e8ef7e2e2466a666350daa4591d,0,0,0,0,0.014520867,0.006288909,0.005577021,0.006199572,0,0,0,0,0,0,0,0
5aa278ea5e7c3e278e4076bbcafc9b3b,0,0,0,0,0,0.006013637,0.003269288,0.003899441,0,0,0,0,0,0,0,0
8a96a350de39551f9a373c7cfd77228c,0,0,0,0,0.004613978,0.005886588,0.006346265,0.006487089,0,0,0,0,0,0,0,0
19ccf88b6bece7f77f69b609225b094b,0,0,0,0,0.000110846,0.005399568,0.009825347,0.009290374,0,0,0,0,0,0,0,0
d176c3da611f6ed23507555427a241c9,0,0,0,0,0.00473868,0.005081946,0.004982605,0.005390932,0,0,0,0,0,0,0,0
811d4d9a05b2c0c374ffd38276ebe6e3,0,0,0,0,0,0.004954898,0.004493086,0.006109723,0,0,0,0,0,0,0,0
b6d3420f162f3af339f4e5c4d02c1682,0,0,0,0,0,0.004954898,0.004056015,0.002875164,0,0,0,0,0,0,0,0
