Wavenumber,BC,HC,WAS,R1,R2,R3
443.072500,0.047364,0.048527,0.042757,0.040364,0.040905,0.030623
443.554700,0.047935,0.049103,0.042941,0.040482,0.041045,0.030704
444.036800,0.047921,0.049079,0.043222,0.040676,0.041283,0.030848
444.518900,0.048514,0.049679,0.043403,0.040791,0.041454,0.030974
445.001000,0.048498,0.049652,0.043626,0.040954,0.041683,0.031132
445.483200,0.049066,0.050222,0.043715,0.041026,0.041817,0.031243
445.965300,0.049059,0.050199,0.043845,0.041156,0.042003,0.031368
446.447400,0.049673,0.050812,0.043879,0.041231,0.042113,0.031446
446.929500,0.049761,0.050893,0.044004,0.041401,0.042299,0.031547
447.411700,0.050465,0.051613,0.044076,0.041540,0.042424,0.031611
447.893800,0.050612,0.051769,0.044254,0.041768,0.042620,0.031702
448.375900,0.051295,0.052481,0.044371,0.041935,0.042736,0.031756
448.858000,0.051364,0.052561,0.044570,0.042152,0.042899,0.031834
449.340100,0.051937,0.053153,0.044695,0.042284,0.042980,0.031880
449.822300,0.051934,0.053149,0.044910,0.042464,0.043131,0.031961
450.304400,0.052493,0.053715,0.045076,0.042584,0.043240,0.032025
450.786500,0.052552,0.053766,0.045355,0.042784,0.043456,0.032135
451.268700,0.053194,0.054411,0.045589,0.042942,0.043645,0.032224
451.750800,0.053318,0.054523,0.045904,0.043174,0.043920,0.032337
452.232900,0.053946,0.055146,0.046120,0.043337,0.044124,0.032402
452.715000,0.053988,0.055162,0.046356,0.043536,0.044360,0.032469
453.197100,0.054483,0.055633,0.046462,0.043647,0.044495,0.032483
453.679300,0.054417,0.055532,0.046602,0.043801,0.044672,0.032518
454.161400,0.054855,0.055954,0.046666,0.043903,0.044792,0.032534
454.643500,0.054809,0.055907,0.046830,0.044091,0.045002,0.032603
455.125700,0.055295,0.056435,0.046970,0.044258,0.045189,0.032670
455.607800,0.055295,0.056503,0.047225,0.044515,0.045463,0.032784
456.089900,0.055768,0.057082,0.047432,0.044728,0.045675,0.032877
456.572000,0.055709,0.057127,0.047705,0.044993,0.045917,0.032990
457.054200,0.056098,0.057613,0.047887,0.045180,0.046050,0.033062
457.536300,0.056007,0.057564,0.048115,0.045406,0.046199,0.033156
458.018400,0.056442,0.057998,0.048268,0.045568,0.046268,0.033227
458.500500,0.056497,0.057987,0.048499,0.045792,0.046403,0.033339
458.982700,0.057120,0.058510,0.048679,0.045967,0.046503,0.033443
459.464800,0.057348,0.058608,0.048934,0.046199,0.046688,0.033581
459.946900,0.058066,0.059200,0.049110,0.046360,0.046830,0.033691
460.429000,0.058305,0.059319,0.049322,0.046552,0.047030,0.033811
460.911200,0.058969,0.059889,0.049432,0.046664,0.047169,0.033888
461.393300,0.059147,0.059994,0.049582,0.046818,0.047368,0.033978
461.875400,0.059773,0.060575,0.049661,0.046925,0.047525,0.034035
462.357500,0.059959,0.060734,0.049821,0.047106,0.047762,0.034117
462.839700,0.060602,0.061373,0.049936,0.047256,0.047960,0.034172
463.321800,0.060781,0.061564,0.050130,0.047468,0.048215,0.034242
463.803900,0.061348,0.062165,0.050250,0.047614,0.048387,0.034268
464.286000,0.061397,0.062259,0.050406,0.047781,0.048564,0.034291
464.768200,0.061804,0.062728,0.050461,0.047858,0.048630,0.034267
465.250300,0.061735,0.062724,0.050550,0.047961,0.048708,0.034256
465.732400,0.062095,0.063157,0.050567,0.048004,0.048716,0.034226
466.214500,0.062073,0.063201,0.050659,0.048111,0.048788,0.034240
466.696700,0.062523,0.063715,0.050713,0.048188,0.048831,0.034255
467.178800,0.062592,0.063832,0.050848,0.048332,0.048949,0.034314
467.660900,0.063066,0.064346,0.050924,0.048423,0.049018,0.034356
468.143000,0.063086,0.064384,0.051046,0.048547,0.049126,0.034416
468.625200,0.063448,0.064752,0.051081,0.048595,0.049155,0.034440
469.107300,0.063355,0.064646,0.051158,0.048673,0.049211,0.034474
469.589400,0.063629,0.064905,0.051167,0.048693,0.049201,0.034476
470.071500,0.063507,0.064764,0.051245,0.048765,0.049242,0.034496
470.553600,0.063773,0.065026,0.051273,0.048792,0.049233,0.034488
471.035800,0.063640,0.064903,0.051365,0.048865,0.049273,0.034492
471.517900,0.063843,0.065136,0.051382,0.048871,0.049243,0.034456
472.000000,0.063604,0.064940,0.051429,0.048894,0.049232,0.034420
472.482100,0.063672,0.065055,0.051381,0.048836,0.049137,0.034343
472.964300,0.063337,0.064751,0.051372,0.048802,0.049069,0.034278
473.446400,0.063368,0.064788,0.051303,0.048713,0.048946,0.034192
473.928500,0.063082,0.064467,0.051309,0.048678,0.048884,0.034135
474.410600,0.063196,0.064510,0.051280,0.048603,0.048786,0.034066
474.892800,0.062993,0.064203,0.051322,0.048574,0.048745,0.034022
475.374900,0.063135,0.064224,0.051299,0.048487,0.048648,0.033952
475.857000,0.062905,0.063872,0.051312,0.048427,0.048587,0.033898
476.339100,0.062968,0.063826,0.051240,0.048308,0.048465,0.033823
476.821300,0.062660,0.063436,0.051208,0.048238,0.048394,0.033778
477.303400,0.062668,0.063389,0.051118,0.048142,0.048296,0.033734
477.785500,0.062353,0.063048,0.051102,0.048125,0.048280,0.033735
478.267600,0.062370,0.063059,0.051051,0.048093,0.048248,0.033735
478.749800,0.062066,0.062768,0.051071,0.048119,0.048282,0.033760
479.231900,0.062056,0.062783,0.051030,0.048092,0.048262,0.033754
479.714000,0.061700,0.062463,0.051026,0.048085,0.048265,0.033746
480.196100,0.061620,0.062427,0.050943,0.048002,0.048189,0.033694
480.678300,0.061225,0.062083,0.050902,0.047945,0.048137,0.033647
481.160400,0.061147,0.062063,0.050810,0.047842,0.048032,0.033579
481.642500,0.060810,0.061783,0.050797,0.047798,0.047984,0.033540
482.124600,0.060805,0.061834,0.050760,0.047732,0.047908,0.033495
482.606800,0.060532,0.061606,0.050802,0.047722,0.047891,0.033480
483.088900,0.060540,0.061651,0.050800,0.047670,0.047829,0.033447
483.571000,0.060233,0.061368,0.050845,0.047650,0.047802,0.033428
484.053100,0.060175,0.061326,0.050821,0.047579,0.047721,0.033387
484.535200,0.059820,0.060979,0.050843,0.047553,0.047687,0.033368
485.017400,0.059754,0.060914,0.050820,0.047508,0.047630,0.033348
485.499500,0.059451,0.060605,0.050875,0.047542,0.047655,0.033373
485.981600,0.059466,0.060608,0.050907,0.047573,0.047677,0.033409
486.463700,0.059249,0.060369,0.051017,0.047674,0.047774,0.033485
486.945900,0.059314,0.060404,0.051083,0.047740,0.047837,0.033555
487.428000,0.059110,0.060164,0.051192,0.047836,0.047935,0.033640
487.910100,0.059157,0.060172,0.051229,0.047868,0.047971,0.033700
488.392200,0.058940,0.059918,0.051300,0.047923,0.048034,0.033769
