Feature ID	Taxon	Consensus
04e04d0c2bdbbce8226582a5bddcb82b	d__Archaea; p__Halobacterota; c__Methanosarcinia; o__Methanosarciniales; f__Methanosaetaceae; g__Methanosaeta; s__uncultured_archaeon	0.6
c9bc5be75a1be9ccec4084aa8ded7d3a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidetes_vadinHA17; g__Bacteroidetes_vadinHA17; s__uncultured_bacterium	0.8
f3ff8543bc75f80ae08b67ea89aae37b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured	0.7
2accb1d6c9974ddf57ddb80f928c02aa	d__Eukaryota	1.0
970226aee4924108a6c9ad6cd77ce5bc	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__uncultured; s__uncultured_bacterium	0.9
16da69f1524617ed8fff9336c3c79fa8	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__uncultured_bacterium	0.7
e9a4022c31fc11e69f7499d491da010e	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__AKYH767; g__AKYH767; s__uncultured_bacterium	0.8
76427251947cea2b362cf9aa4c334092	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae	0.9
c1770bf99cacc8a1ac9fa075be4de837	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC-I-84; g__SC-I-84; s__uncultured_bacterium	0.7
2df62be69fbf25421ae95951c9023554	d__Bacteria; p__Synergistota; c__Synergistia; o__Synergistales; f__Synergistaceae; g__Thermovirga	0.8
0d6f0d1aa4a91200b3f690804d6fd3ed	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	1.0
19ccf88b6bece7f77f69b609225b094b	d__Archaea; p__Halobacterota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanomicrobiaceae; g__Methanoculleus	0.7
8a0c7391c529afe2e461fb202e552959	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Denitratisoma; s__uncultured_bacterium	0.6
9111f790273cb0010f3ac0eaf33fb5b6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC-I-84; g__SC-I-84; s__uncultured_bacterium	0.6
d49c7ec2c9d4c53e91ebbf88ab96318e	d__Bacteria; p__Desulfobacterota; c__Syntrophorhabdia; o__Syntrophorhabdales; f__Syntrophorhabdaceae; g__Syntrophorhabdus; s__uncultured_bacterium	0.8
4880245127a3f5bb73b8ab996cedd39c	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__uncultured; s__uncultured_bacterium	0.6
99303eae37ea3f88c26d4417cb54e25b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__uncultured_bacterium	0.6
d2fd01c53ae7beede097bc15ef5ad6ca	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae	0.8
eaf7b73120f6936ddf45393284a19c23	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Rubinisphaeraceae; g__uncultured; s__uncultured_bacterium	0.7
4780c4772a1ded0ba1cf20b2f2c5cd9b	d__Bacteria; p__Thermotogota; c__Thermotogae; o__Kosmotogales; f__Kosmotogaceae; g__Mesotoga; s__uncultured_bacterium	1.0
87a74e7267672fde9402d083fa3ded9a	d__Bacteria; p__Thermotogota; c__Thermotogae; o__Kosmotogales; f__Kosmotogaceae; g__Mesotoga; s__uncultured_bacterium	0.7
6347f83efc89d48cabb3e09ccd1908ec	d__Bacteria; p__Synergistota; c__Synergistia; o__Synergistales; f__Synergistaceae; g__Thermovirga	0.8
98e96dda1168491e6404b736a231e8f9	d__Bacteria; p__Synergistota; c__Synergistia; o__Synergistales; f__Synergistaceae; g__uncultured; s__uncultured_bacterium	1.0
8905b0970dc158028c6ee2e7a2a0c3cf	d__Bacteria; p__Synergistota; c__Synergistia; o__Synergistales; f__Synergistaceae; g__Thermovirga	0.8
76774ce3b2397d3eb58451c7ba0be92a	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia	1.0
af81441161de106d85aad40a86c716d0	d__Bacteria; p__Synergistota; c__Synergistia; o__Synergistales; f__Synergistaceae; g__uncultured; s__uncultured_bacterium	0.7
588d3506358db84649262eb2c57b8772	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9
6926ffe4c20511bf0d5b7f609a6f799d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured	0.9
a99f24d3fce8551e32e0a4759792d1e0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Anaerovoracaceae; g__Anaerovorax; s__uncultured_bacterium	0.6
1c7c2c3ae8b6e6e1c17c869ed1ec7bb1	d__Bacteria; p__Patescibacteria; c__Dojkabacteria; o__Dojkabacteria; f__Dojkabacteria; g__Dojkabacteria	0.9
e5f3957321fe762102e3dca0da942c07	d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__uncultured_bacterium	0.6
589414ab4744be4dff4d6bb722084a65	d__Bacteria; p__Planctomycetota	1.0
602cd900b0829c0ac86c25928869d73c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured; s__uncultured_bacterium	0.8
2ac49d9b53643a3ea90549505c433601	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__uncultured	0.9
b8a67559e3993902b3f8555a47000188	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__uncultured	0.9
8580bf1e15606d92ed7d5da111031ee1	d__Eukaryota; p__Cryptomycota; c__Cryptomycota; o__Cryptomycota; f__Cryptomycota; g__Cryptomycota; s__uncultured_eukaryote	1.0
f7ff3c7f88b16294b938b8ce48ece50a	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__uncultured; g__uncultured; s__uncultured_bacterium	0.8
59b56ca1a1a3cc99e3c5ac7d007660d9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__uncultured_bacterium	0.7
fe7b833bc4c666dc9729b57d49debebf	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenticatenales; f__uncultured; g__uncultured; s__uncultured_bacterium	0.8
5e9f50bf0c18edac5142a304f157ec60	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__uncultured; s__uncultured_bacterium	0.8
6be46a181ebfe74e85b0debd31a64b34	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae; g__IMCC26207; s__uncultured_bacterium	0.7
e5aa1e68c980c01be8bf9f7f58714e6b	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae; g__IMCC26207; s__uncultured_bacterium	0.8
f83394ba03211953dbfb2c490a9d0064	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Rhodanobacter	0.6
b224f9c48e811e4ab6ee53f2d7d0e841	d__Bacteria; p__Caldisericota; c__Caldisericia; o__Caldisericales; f__WCHB1-02; g__WCHB1-02	0.7
d601c87118bcd0b564cf206be617a100	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__uncultured_bacterium	0.7
fd534bfe9457c95d48b14458d254a8c7	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Sphaerochaeta; s__uncultured_bacterium	0.6
82e90f32e227f5c9053b81b54fa57b79	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia; f__Hungateiclostridiaceae; g__uncultured; s__uncultured_bacterium	0.9
00750b9b2e5906818749c9df7da49f31	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Anaerovoracaceae; g__Anaerovorax; s__uncultured_bacterium	0.6
8c5d8a0cbdd9bcfdcda7e9b800380e47	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_bacterium	0.6
4aacae85c4fc7fc919bb5354fb375ef5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC-I-84; g__SC-I-84; s__uncultured_bacterium	0.7
4c2b93b66c5c45551e45b8283fe90641	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__PeM15; f__PeM15; g__PeM15; s__uncultured_bacterium	0.6
7432e8d52edd1e4a20c84d86138389c2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Izemoplasmatales; f__Izemoplasmatales; g__Izemoplasmatales	0.8
05b9a5f9218f7ee4fe3824970ee32a4b	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Sphaerochaeta; s__uncultured_bacterium	0.7
30d2954397c0bbaeefedec58d9210c9e	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae; g__uncultured; s__uncultured_bacterium	0.6
fe299cd42d8fce9afc129c53dde83d1a	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__uncultured	0.6
c74079efeff9a437189d2f80343789d4	d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales; f__Smithellaceae; g__Smithella	0.8
1c0bf5411bf63a597067fec3c199ef80	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__uncultured; s__uncultured_bacterium	0.6
d9d7db4121fe044ba9432a5b4f05c95b	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Sphaerochaeta; s__uncultured_bacterium	0.9
711cb1dfe0a4f761994ac591ce59ba66	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales	1.0
e7500263217e3ba437da7426ab3ae572	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidetes_vadinHA17; g__Bacteroidetes_vadinHA17; s__uncultured_bacterium	0.6
8b4a67ead5d02bd9f71ba82642ef3079	d__Eukaryota; p__Cryptomycota; c__Cryptomycota; o__Cryptomycota; f__Cryptomycota; g__Cryptomycota	0.8
85925180c789d2de510bf9d8539e39f4	d__Archaea; p__Halobacterota; c__Methanosarcinia; o__Methanosarciniales; f__Methanosaetaceae; g__Methanosaeta; s__metagenome	0.8
7ed371236b02b7122796077e77264823	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__uncultured; s__uncultured_archaeon	0.8
02edd6996c8bdace25a674813fb6dbcc	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_bacterium	0.6
cebf7e5772435a680de505ec56fb3bfe	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__Ellin6067	0.6
17331cc36595d8bed9a46d76e1196bca	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium	1.0
eed62bb9ae75a28dae8cfae9955240c7	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__uncultured; s__uncultured_bacterium	0.6
badbc34d43e1d953d1772885383d37b5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Gallionellaceae	0.8
7ece357e8166a41a4d520345b70a73d4	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Sphaerochaeta; s__uncultured_bacterium	0.9
1419d50c38493dc475eb48393944c5fd	d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__uncultured; s__uncultured_bacterium	0.7
dacd4a856862e1f4717ed42116b174b7	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__uncultured	0.9
631b5de2661db3db28ec041606b96683	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__uncultured_bacterium	0.6
167434a287d5485341c00d9bbaccf705	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Sphaerochaeta; s__uncultured_bacterium	0.9
7aef26677ff7c1f1c6409b332c72755f	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Tetrasphaera	0.9
16a835da432903a0b359f44eb76cabfe	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Haliscomenobacter; s__uncultured_bacterium	0.9
3a86d8bbb322a1dea00cadeb7bd3b746	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pirellula; s__uncultured_bacterium	0.8
104e8867e0a04051862a095d78453c6d	d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__JG30-KF-CM45; g__JG30-KF-CM45; s__uncultured_bacterium	0.8
f1aebd6d9b421d7e8254b6ddfbe845ab	d__Eukaryota; p__Cryptomycota; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Paramicrosporidium; s__uncultured_eukaryote	0.7
09ae8bcb8c1a21b3bb346ab368b7eec9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Lentimicrobiaceae; g__Lentimicrobium; s__uncultured_bacterium	0.9
cce24231301f97e7bf51ee049c72271e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC-I-84; g__SC-I-84; s__uncultured_bacterium	0.8
a6c449a2a1e96bb63b1baf736009df54	d__Bacteria; p__Caldisericota; c__Caldisericia; o__Caldisericales; f__WCHB1-02; g__WCHB1-02	0.8
64895911480fefaefe214df22b46f4d4	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_13	0.6
d8a4210aefa7b05f3c996c84c6305dd4	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Sedimentibacteraceae; g__Sedimentibacter; s__uncultured_bacterium	0.9
8b81635a70ceea49305f0fbd8b35f6cb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Ahniella; s__uncultured_bacterium	0.9
1ccc65ca3abf2af06862a6d2c594c788	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__uncultured	0.8
6e1d95dd641d8f34af62ded2355ea8d4	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured; s__uncultured_bacterium	0.9
56b4225bb4672f80750e769848d3874d	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae	0.9
a3b8483de668f916101f685e9bbfa5d4	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured; s__uncultured_Saprospiraceae_bacterium	0.6
e3bb5ed2e83735f886ebc53975e73c52	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Lautropia	0.7
3ff4b73bbd26f81b8caa23e1104cdc57	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__uncultured; s__uncultured_bacterium	0.6
aaf120cfc359609d938880277486eb53	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	1.0
67ea12e39fc948ed411d4e86f1394857	d__Archaea; p__Halobacterota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanomicrobiaceae; g__Methanoculleus	0.8
7cc0fe6df4764db92c0e996abdf662e1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__uncultured_bacterium	0.6
66c4ab49109db66ab3f1b84dbe8c428b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylocaldum	0.7
4c9153289bee49cd25b447413601e285	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia; f__Hungateiclostridiaceae; g__Fastidiosipila; s__uncultured_bacterium	0.8
1a1a71faa8c6f18e5fb9edbb3e9bc93f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__uncultured_bacterium	0.7
b0ae0088eddea7502738e288d4e50fb5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	1.0
a138b46bb92d6ac4d4ad2cbb1e992802	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__uncultured_bacterium	0.6
5270fece29b5bcaf3625a450744e8343	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Defluviimonas	0.7
a569958bfba4578aea73d8843b66f11f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	1.0
f948542ee1eb41470ec30c463dbcc863	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_bacterium	0.7
dd2f22ee592f4ca78c36dedc6322e3ec	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	1.0
f2c97681c55133159e60489de41aa354	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Isosphaerales; f__Isosphaeraceae; g__Paludisphaera	0.8
89bcb5e709bfadb0e59df9b55105c5ab	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__uncultured	0.8
52330edff9290bbdde699ebfc17e925c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Competibacterales; f__Competibacteraceae; g__Candidatus_Competibacter; s__uncultured_bacterium	0.8
25800f1210818964c498d30ef8e3d268	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae	1.0
dea8848f8c08e86754ab8b272db8295b	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae	0.9
c1e07655a4b1a591999c2ad248cb35f9	d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium	1.0
6d893decac9f33b6c4e6d512ba5b600d	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Sphaerochaeta; s__uncultured_bacterium	0.6
3b0b997f90a80f10cab3d0c119767e0f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae; g__uncultured; s__uncultured_bacterium	0.8
b6d3420f162f3af339f4e5c4d02c1682	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Sphaerochaeta; s__uncultured_bacterium	0.8
05d88f4a81396b7880747cb6f0e04fc9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae	0.6
bce993fc29d651a5bfab7b9fabdd77a5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidetes_vadinHA17; g__Bacteroidetes_vadinHA17	0.7
bae1872b848c00982d3b0278b2c0d61c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__uncultured_bacterium	0.7
8b6b5864e517cbadf705eb5717fddeff	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__Acidibacter; s__uncultured_bacterium	0.6
5d0c2468b1bfd5681344200ab6a0d72c	d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__uncultured_bacterium	0.6
8230afd50803d386af0d6f584d17a38f	d__Eukaryota; p__Ciliophora; c__Intramacronucleata	0.6
c799f088df75a5d6ad50c829fa920faf	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__uncultured_bacterium	0.7
